name,url,img,price,quantity,unitPrice,servingSize,kilojoules,protein,fat,fatSaturated,carb,sugar,sodium
Cini Minis Churros,https://www.coles.com.au/product/nestle-cini-minis-churros-360g-4310837,https://productimages.coles.com.au/productimages/4/4310837.jpg,6.5,0.36,18.1,0.03,1670,7.3,5.8,0.8,75.8,24.8,400
Strawberry Jam,https://www.coles.com.au/product/bonne-maman-strawberry-jam-370g-5935149,https://productimages.coles.com.au/productimages/5/5935149.jpg,6.7,0.37,18.1,0.02,1100,1,1,,64,64,
Raspberry Jam,https://www.coles.com.au/product/bonne-maman-raspberry-jam-370g-8558164,https://productimages.coles.com.au/productimages/8/8558164.jpg,6.7,0.37,18.1,0.02,1100,1,1,,64,64,
Special K Fruit & Nut Breakfast Cereal with Grain and Nut Based Protein,https://www.coles.com.au/product/kellogg's-special-k-fruit-and-nut-breakfast-cereal-with-grain-and-nut-based-protein-430g-8609968,https://productimages.coles.com.au/productimages/8/8609968.jpg,7.8,0.43,18.1,0.04,1630,15.3,5.7,0.9,64.9,21.6,270
Special K High Protein Breakfast Cereal,https://www.coles.com.au/product/kellogg's-special-k-high-protein-breakfast-cereal-380g-4308766,https://productimages.coles.com.au/productimages/4/4308766.jpg,7,0.38,18.4,4,1710,21.3,7.7,1.3,60.1,16.3,270
Spread,https://www.coles.com.au/product/vegemite-spread-380g-5998852,https://productimages.coles.com.au/productimages/5/5998852.jpg,7,0.38,18.4,0.005,729,25.9,1,1,11.1,2.4,3300
Crunchy Nut Corn Flakes Breakfast Cereal,https://www.coles.com.au/product/kellogg's-crunchy-nut-corn-flakes-breakfast-cereal-380g-8492044,https://productimages.coles.com.au/productimages/8/8492044.jpg,7,0.38,18.4,0.035,1700,7.3,5.2,0.7,79.6,31.3,355
Wheat Free Oat Sachets Creamy Honey 8x40g,https://www.coles.com.au/product/red-tractor-wheat-free-oat-sachets-creamy-honey-8x40g-320g-6151235,https://productimages.coles.com.au/productimages/6/6151235.jpg,5.9,0.32,18.4,0.04,1640,10.8,7.5,1.3,65.6,12.2,5
Wheat Free Oat Sachets Creamy Vanilla 8x40g,https://www.coles.com.au/product/red-tractor-wheat-free-oat-sachets-creamy-vanilla-8x40g-320g-6152205,https://productimages.coles.com.au/productimages/6/6152205.jpg,5.9,0.32,18.4,0.04,1650,11.2,7.8,1.3,64.7,12.3,3
Porridge Protein Rich Almond Vanilla & Cinnamon,https://www.coles.com.au/product/carmans-porridge-protein-rich-almond-vanilla-and-cinnamon-270g-3990893,https://productimages.coles.com.au/productimages/3/3990893.jpg,5,0.27,18.5,0.045,1660,22.7,9.2,1.3,51,6.9,37
Breakfast Bakes Apple & Cinnamon Oats 4 pack,https://www.coles.com.au/product/uncle-tobys-breakfast-bakes-apple-and-cinnamon-oats-4-pack-260g-3375327,https://productimages.coles.com.au/productimages/3/3375327.jpg,7,0.26,26.9,0.065,1680,8,14.8,1.7,52.2,11.5,21
Breakfast Bakes Honey and Almond Oats 4 pack,https://www.coles.com.au/product/uncle-tobys-breakfast-bakes-honey-and-almond-oats-4-pack-260g-3375338,https://productimages.coles.com.au/productimages/3/3375338.jpg,7,0.26,26.9,0.065,1690,9,15.7,1.6,52.1,11.5,82
Breakfast Bakes Berry Harvest Oats 4 pack,https://www.coles.com.au/product/uncle-tobys-breakfast-bakes-berry-harvest-oats-4-pack-260g-3375349,https://productimages.coles.com.au/productimages/3/3375349.jpg,7,0.26,26.9,0.065,1670,8.1,13.8,1.6,53.5,14.5,7
Probiotic Raspberry And Vanilla Granola,https://www.coles.com.au/product/blue-frog-probiotic-raspberry-and-vanilla-granola-350g-4310859,https://productimages.coles.com.au/productimages/4/4310859.jpg,9.5,0.35,27.1,0.04,2000,13.1,24.1,11.1,48.1,13.7,90
Probiotic Blueberry Granola,https://www.coles.com.au/product/blue-frog-probiotic-blueberry-granola-350g-4310972,https://productimages.coles.com.au/productimages/4/4310972.jpg,9.5,0.35,27.1,0.04,1880,12,21.6,5.7,46,7.9,48
Probiotic Granola Triple Nut Crunch,https://www.coles.com.au/product/blue-frog-probiotic-granola-triple-nut-crunch-350g-5293507,https://productimages.coles.com.au/productimages/5/5293507.jpg,9.5,0.35,27.1,0.04,1817,13.8,22.7,3,41,14.9,160
All Natural Granola Original,https://www.coles.com.au/product/irrewarra-all-natural-granola-original-500g-3281041,https://productimages.coles.com.au/productimages/3/3281041.jpg,15,0.5,30,0.05,2076,11,30,4,42,21,14
Fruit Free Granola,https://www.coles.com.au/product/irrewarra-fruit-free-granola-500g-3281063,https://productimages.coles.com.au/productimages/3/3281063.jpg,15,0.5,30,0.05,2370,13.6,38.6,5.6,37.6,13.4,10
More Nuts And Honey Granola,https://www.coles.com.au/product/irrewarra-more-nuts-and-honey-granola-500g-3590104,https://productimages.coles.com.au/productimages/3/3590104.jpg,15,0.5,30,0.05,2100,11.2,32,3.8,39,18.8,12
