name,url,img,price,quantity,unitPrice,servingSize,kilojoules,protein,fat,fatSaturated,carb,sugar,sodium
Tom Yum With Noodles Soup Serves 2,https://www.coles.com.au/product/coles-tom-yum-with-noodles-soup-serves-2-60g-3715094,https://productimages.coles.com.au/productimages/3/3715094.jpg,1.15,0.06,19.2,0.25,182.8,0.7,0.1,0.1,8.8,,268
2 Serve Soup Creamy Tomato And Basil Soup With Croutons,https://www.coles.com.au/product/coles-2-serve-soup-creamy-tomato-and-basil-soup-with-croutons-60g-3942653,https://productimages.coles.com.au/productimages/3/3942653.jpg,1.15,0.06,19.2,0.25,244.96,0.44,0.6,0.2,12.5,,197
Rice Oriental Fried,https://www.coles.com.au/product/continental-rice-oriental-fried-180g-5748006,https://productimages.coles.com.au/productimages/5/5748006.jpg,3.5,0.18,19.4,,,,,,,,
Tuna in Oil Italian Style,https://www.coles.com.au/product/sirena-tuna-in-oil-italian-style-185g-244264,https://productimages.coles.com.au/productimages/2/244264.jpg,4.7,0.185,25.41,0.075,809,26,9.9,1.2,1,1,519
La Vita Lite Tuna In Oil,https://www.coles.com.au/product/sirena-la-vita-lite-tuna-in-oil-185g-3114378,https://productimages.coles.com.au/productimages/3/3114378.jpg,4.7,0.185,25.41,0.068,529,26,3.3,1,0.1,0.1,519
Tuna With Marinated Vegetables,https://www.coles.com.au/product/sirena-tuna-with-marinated-vegetables-185g-4410536,https://productimages.coles.com.au/productimages/4/4410536.jpg,4.7,0.185,25.41,0.185,782,13.6,12.1,1.6,5.1,3.3,438
Original Tuna & Beans,https://www.coles.com.au/product/sirena-original-tuna-and-beans-185g-5969322,https://productimages.coles.com.au/productimages/5/5969322.jpg,4.7,0.185,25.41,0.185,673,15,6.2,0.8,9.4,2.7,365
Chilli Tuna,https://www.coles.com.au/product/sirena-chilli-tuna-185g-6061041,https://productimages.coles.com.au/productimages/6/6061041.jpg,4.7,0.185,25.41,0.075,809,26,9.9,1.2,1,1,519
Tuna in Springwater,https://www.coles.com.au/product/sirena-tuna-in-springwater-185g-7392565,https://productimages.coles.com.au/productimages/7/7392565.jpg,4.7,0.185,25.41,0.075,460,24.9,1,1,1,1,397
Hot & Spicy Noodle Cup,https://www.coles.com.au/product/indomie-hot-and-spicy-noodle-cup-75g-3993053,https://productimages.coles.com.au/productimages/3/3993053.jpg,2,0.075,26.7,0.155,890,3.2,10.2,4.9,27,3.2,565
Mi Goreng Fried Noodle Cup,https://www.coles.com.au/product/indomie-mi-goreng-fried-noodle-cup-75g-8364420,https://productimages.coles.com.au/productimages/8/8364420.jpg,2,0.075,26.7,0.16,942,3.4,10.4,4.9,29.3,3.8,450
Mussels In Oil,https://www.coles.com.au/product/coles-mussels-in-oil-85g-3745437,https://productimages.coles.com.au/productimages/3/3745437.jpg,1.7,0.085,20,0.032,868.59,19.6,12.77,3.47,3.7,,374
Wild Alaskan Pink Salmon,https://www.coles.com.au/product/john-west-wild-alaskan-pink-salmon-415g-5159016,https://productimages.coles.com.au/productimages/5/5159016.jpg,8.5,0.415,20.48,0.079,602,23,5.7,1.6,1,1,365
Pasta And Sauce Family Macaroni Cheese,https://www.coles.com.au/product/continental-pasta-and-sauce-family-macaroni-cheese-170g-4727645,https://productimages.coles.com.au/productimages/4/4727645.jpg,3.5,0.17,20.6,130,1560,10.8,2.4,1.2,76.9,1.8,1080
Pasta & Sauce Family Four Cheeses,https://www.coles.com.au/product/continental-pasta-and-sauce-family-four-cheeses-170g-8463760,https://productimages.coles.com.au/productimages/8/8463760.jpg,3.5,0.17,20.6,,,,,,,,
Crab Meat In Brine,https://www.coles.com.au/product/seacrown-crab-meat-in-brine-170g-8904673,https://productimages.coles.com.au/productimages/8/8904673.jpg,3.5,0.17,20.59,0.06,,,,,,,
